time_shifted_s,fixed_force_increment_N,hinged_force_increment_N,hinged_reaction_increment_N,fixed_fuselage_velocity_m_s,hinged_fuselage_velocity_m_s,hinged_centre_pressure_over_span
-0.1,2.220446049e-16,2.220446049e-16,-5.124106268e-17,0,0,0.5
-0.095,2.220446049e-16,2.220446049e-16,-1.592743031e-16,7.401486831e-18,-2.135044278e-18,0.5
-0.09,2.220446049e-16,-2.220446049e-16,-2.361358972e-16,1.480297366e-17,-1.32728586e-17,0.5
-0.085,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,2.220446049e-17,-2.181303571e-17,0.5
-0.08,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,2.960594732e-17,-3.035321282e-17,0.5
-0.075,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,3.700743415e-17,-3.889338993e-17,0.5
-0.07,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,4.440892099e-17,-4.743356705e-17,0.5
-0.065,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,5.181040782e-17,-5.597374416e-17,0.5
-0.06,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,5.921189465e-17,-6.451392127e-17,0.5
-0.055,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,6.661338148e-17,-7.305409838e-17,0.5
-0.05,2.220446049e-16,-2.220446049e-16,-2.049642507e-16,7.401486831e-17,-8.15942755e-17,0.5
-0.045,2.220446049e-16,-2.220446049e-16,-2.113693835e-16,8.141635514e-17,-9.013445261e-17,0.5
-0.04,2.220446049e-16,-2.220446049e-16,-2.177745164e-16,8.881784197e-17,-9.920839079e-17,0.5
-0.035,2.220446049e-16,-2.220446049e-16,-2.199095606e-16,9.62193288e-17,-1.08282329e-16,0.5
-0.03,2.220446049e-16,-2.220446049e-16,-2.199095606e-16,1.036208156e-16,-1.175341875e-16,0.5
-0.025,2.220446049e-16,-2.220446049e-16,-2.199095606e-16,1.110223025e-16,-1.266081257e-16,0.5
-0.02,2.220446049e-16,-2.220446049e-16,-2.199095606e-16,1.184237893e-16,-1.358599842e-16,0.5
-0.015,2.220446049e-16,-2.220446049e-16,-2.220446049e-16,1.258252761e-16,-1.449339224e-16,0.5
-0.01,2.220446049e-16,-2.220446049e-16,-2.199095606e-16,1.33226763e-16,-1.543637013e-16,0.5
-0.005,2.220446049e-16,-2.220446049e-16,-2.199095606e-16,1.406282498e-16,-1.632597191e-16,0.5
0,2.220446049e-16,-2.220446049e-16,0.0001798336543,1.480297366e-16,-1.72689498e-16,0.5
0.005,0.03420448019,0.03033562382,0.002564109121,0.0003823683407,1.498613786e-05,0.4994964571
