time_shifted_s,fixed_velocity_m_s,muw_0.2_velocity_m_s,muw_0.2_centre_pressure_over_span,muw_0.35_velocity_m_s,muw_0.35_centre_pressure_over_span,muw_0.5_velocity_m_s,muw_0.5_centre_pressure_over_span
-0.1,0,0,0.5,0,0.5,0,0.5
-0.095,7.401486831e-18,-2.135044278e-18,0.5,-5.430438707e-18,0.5,-6.245004514e-18,0.5
-0.09,1.480297366e-17,-1.32728586e-17,0.5,-1.472252272e-17,0.5,-1.249000903e-17,0.5
-0.085,2.220446049e-17,-2.181303571e-17,0.5,-3.201947564e-17,0.5,-2.983724379e-17,0.5
-0.08,2.960594732e-17,-3.035321282e-17,0.5,-4.469049929e-17,0.5,-4.834096086e-17,0.5
-0.075,3.700743415e-17,-3.889338993e-17,0.5,-5.736152294e-17,0.5,-6.291263806e-17,0.5
-0.07,4.440892099e-17,-4.743356705e-17,0.5,-7.003254659e-17,0.5,-7.748431526e-17,0.5
-0.065,5.181040782e-17,-5.597374416e-17,0.5,-8.270357024e-17,0.5,-9.205599246e-17,0.5
-0.06,5.921189465e-17,-6.451392127e-17,0.5,-9.477121181e-17,0.5,-1.066276697e-16,0.5
-0.055,6.661338148e-17,-7.305409838e-17,0.5,-1.044253251e-16,0.5,-1.211993469e-16,0.5
-0.05,7.401486831e-17,-8.15942755e-17,0.5,-1.13878311e-16,0.5,-1.357710241e-16,0.5
-0.045,8.141635514e-17,-9.013445261e-17,0.5,-1.235324242e-16,0.5,-1.503427013e-16,0.5
-0.04,8.881784197e-17,-9.920839079e-17,0.5,-1.335887922e-16,0.5,-1.639891926e-16,0.5
-0.035,9.62193288e-17,-1.08282329e-16,0.5,-1.432429055e-16,0.5,-1.737036441e-16,0.5
-0.03,1.036208156e-16,-1.175341875e-16,0.5,-1.526958914e-16,0.5,-1.827242061e-16,0.5
-0.025,1.110223025e-16,-1.266081257e-16,0.5,-1.627522593e-16,0.5,-1.912821753e-16,0.5
-0.02,1.184237893e-16,-1.358599842e-16,0.5,-1.714007358e-16,0.5,-2.016905161e-16,0.5
-0.015,1.258252761e-16,-1.449339224e-16,0.5,-1.800492123e-16,0.5,-2.123301535e-16,0.5
-0.01,1.33226763e-16,-1.543637013e-16,0.5,-1.88295434e-16,0.5,-2.236636802e-16,0.5
