time_shifted_s,fixed_velocity_m_s,kt_0_velocity_m_s,kt_0_theta_deg,kt_0.1_velocity_m_s,kt_0.1_theta_deg,kt_1_velocity_m_s,kt_1_theta_deg,kt_10_velocity_m_s,kt_10_theta_deg
-0.1,0,0,0,0,0,0,0,0,0
-0.095,7.401486831e-18,-6.245004514e-18,2.932073847e-17,-6.245004514e-18,2.932073847e-17,-6.245004514e-18,2.932073847e-17,-6.245004514e-18,2.932073847e-17
-0.09,1.480297366e-17,-1.249000903e-17,1.172829539e-16,-1.249000903e-17,1.172829539e-16,-1.249000903e-17,1.172829539e-16,-9.830099697e-18,1.150963225e-16
-0.085,2.220446049e-17,-2.983724379e-17,2.678623396e-16,-2.983724379e-17,2.678623396e-16,-2.983724379e-17,2.678623396e-16,-9.136210307e-18,2.353610464e-16
-0.08,2.960594732e-17,-4.834096086e-17,4.896066363e-16,-4.834096086e-17,4.896066363e-16,-4.834096086e-17,4.896066363e-16,-1.804112415e-18,3.700376587e-16
-0.075,3.700743415e-17,-6.291263806e-17,7.445479725e-16,-6.291263806e-17,7.445479725e-16,-6.291263806e-17,7.445479725e-16,5.527985477e-18,5.010698854e-16
-0.07,4.440892099e-17,-7.748431526e-17,1.030300932e-15,-7.748431526e-17,1.030300932e-15,-7.181755191e-17,1.020361699e-15,2.34534614e-17,6.0049535e-16
-0.065,5.181040782e-17,-9.205599246e-17,1.346865515e-15,-9.205599246e-17,1.346865515e-15,-8.014422459e-17,1.297765702e-15,4.49640325e-17,6.432671843e-16
-0.06,5.921189465e-17,-1.066276697e-16,1.694241722e-15,-1.066276697e-16,1.694241722e-15,-9.425330886e-17,1.591867618e-15,6.64746036e-17,6.25409695e-16
-0.055,6.661338148e-17,-1.211993469e-16,2.072429552e-15,-1.211993469e-16,2.072429552e-15,-1.083623931e-16,1.915787234e-15,8.740693354e-17,5.470222744e-16
-0.05,7.401486831e-17,-1.357710241e-16,2.481429006e-15,-1.357710241e-16,2.481429006e-15,-1.224714774e-16,2.269027588e-15,1.019786107e-16,4.252997963e-16
